Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
10/31/18,193587,Bushwick,NY,New York-Newark-Jersey City,Kings County,New York,32,762500,-0.000524315,-0.012177743,-0.012817193,,,2018-04,2018-Q2,790900,-0.035908459,2017-09
10/31/18,194379,East Flatbush,NY,New York-Newark-Jersey City,Kings County,New York,33,528900,0.013024325,0.02978972,0.129645451,,,2018-10,2018-Q4,528900,0,2018-10
10/31/18,275456,South Side,TX,Corpus Christi,Nueces County,Corpus Christi,34,184800,0.002712968,0.010940919,0.038785835,,,2018-10,2018-Q4,184800,0,2018-10
10/31/18,28380,Alief,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,35,142800,0.006342495,0.034033309,0.153473344,,,2018-10,2018-Q4,142800,0,2018-10
10/31/18,10957,Corona,NY,New York-Newark-Jersey City,Queens County,New York,36,544000,0.006475486,0.014357636,0.081081081,,,2018-10,2018-Q4,544000,0,2018-10
10/31/18,273555,East Memphis-Colonial-Yorkshire,TN,Memphis,Shelby County,Memphis,37,122400,0.008237232,0.03030303,0.099730458,,,2018-10,2018-Q4,122400,0,2018-10
10/31/18,270945,Sunset Park,NY,New York-Newark-Jersey City,Kings County,New York,38,546900,0.00201539,-0.004369197,0.100845411,,,2018-06,2018-Q2,550500,-0.00653951,2018-04
10/31/18,273088,Bullard,CA,Fresno,Fresno County,Fresno,39,284000,0.003179089,0.009598294,0.045270519,,,2006-04,2006-Q2,351800,-0.192723138,2004-10
10/31/18,275501,Southwest Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,40,182800,0.004395604,0.018384401,0.156230234,,,2018-10,2018-Q4,182800,0,2018-10
10/31/18,193406,Borough Park,NY,New York-Newark-Jersey City,Kings County,New York,41,870700,0.010679048,0.036794475,0.079603224,,,2018-10,2018-Q4,870700,0,2018-10
10/31/18,193285,Bensonhurst,NY,New York-Newark-Jersey City,Kings County,New York,42,798700,0.004275116,-0.003866301,0.023580674,,,2018-06,2018-Q2,805100,-0.007949323,2018-05
10/31/18,276246,Central City,TX,Corpus Christi,Nueces County,Corpus Christi,43,78700,0.005108557,-0.002534854,0.030104712,,,2018-05,2018-Q2,79700,-0.012547051,2018-04
10/31/18,276652,West San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,44,1625800,-0.001290006,-0.008598085,0.131621076,,,2018-06,2018-Q2,1646600,-0.01263209,2018-05
